Code,Yield,Price,MaxPrice
BRCO11,9.50,110.94,104.3956043956044
BROF11,12.06,53.85,132.52747252747253
BTAL11,13.29,78.22,146.04395604395603
BTCI11,11.27,9.13,123.84615384615384
BPML11,20.16,77.43,221.53846153846155
BTHF11,10.91,8.55,119.8901098901099
BTLG11,9.31,101.01,102.30769230769232
CCME11,12.24,8.74,134.5054945054945
AIEC11,11.80,48.05,129.6703296703297
CPTS11,12.71,7.43,139.6703296703297
AZPL11,13.27,7.58,145.82417582417582
ICRI11,15.09,90.75,165.82417582417582
BBIG11,14.48,6.86,159.12087912087912
CLIN11,13.88,88.14,152.52747252747255
BRCR11,12.04,42.24,132.3076923076923
CPSH11,12.70,9.63,139.56043956043956
BCIA11,12.18,84.07,133.84615384615384
CVBI11,13.91,84,152.85714285714286
BCRI11,15.44,63.69,169.67032967032966
CYCR11,14.19,8.61,155.93406593406593
DEVA11,17.59,26.87,193.2967032967033
ARRI11,16.46,6.58,180.8791208791209
VRTA11,13.18,76.15,144.83516483516485
BLMG11,10.06,33.75,110.54945054945055
GTWR11,13.29,75.99,146.04395604395603
CACR11,22.46,62.59,246.81318681318683
AFHI11,12.63,92.5,138.79120879120882
PMLL11,9.97,99.93,109.56043956043958
PORD11,13.80,7.85,151.64835164835165
PMIS11,14.86,7.72,163.2967032967033
GZIT11,21.27,43.72,233.73626373626374
AJFI11,9.70,7.66,106.59340659340658
PVBI11,8.34,74.16,91.64835164835165
GGRC11,12.32,9.75,135.3846153846154
RBRL11,10.17,81.23,111.75824175824177
ALZR11,9.36,10.42,102.85714285714285
GARE11,11.43,9.01,125.6043956043956
RZAT11,13.83,91,151.97802197802199
RBRX11,12.80,7.9,140.65934065934067
HABT11,16.38,77.33,180
RBRY11,12.97,95.89,142.52747252747253
HCTR11,16.36,22.15,179.78021978021977
RBRP11,9.94,49.77,109.23076923076923
FATN11,11.95,81.58,131.3186813186813
HGBS11,9.90,19.34,108.7912087912088
RBRF11,12.55,6.6,137.9120879120879
TVRI11,13.47,90.71,148.02197802197804
HGCR11,13.24,93.45,145.4945054945055
RBRR11,12.24,87.65,134.5054945054945
TOPP11,12.04,68.99,132.3076923076923
HGLG11,8.45,155.86,92.85714285714285
TRXF11,13.72,97.07,150.76923076923077
HGRE11,10.08,115.79,110.76923076923077
URPR11,22.16,38.5,243.51648351648353
TRBL11,12.57,59.42,138.13186813186815
HGRU11,10.04,123.62,110.32967032967032
VGHF11,14.08,7.63,154.72527472527474
SPXS11,12.84,8.49,141.0989010989011
SNCI11,14.36,83.2,157.8021978021978
HTMX11,15.30,136.9,168.13186813186815
HSAF11,14.42,77.85,158.46153846153845
VGIP11,14.66,79.86,161.0989010989011
SNEL11,13.99,8.55,153.73626373626374
HSLG11,10.23,80.69,112.41758241758242
HSML11,10.13,83.6,111.31868131868133
VGIR11,14.18,9.7,155.82417582417582
SNFF11,12.69,70.3,139.45054945054946
TEPP11,13.14,80.38,144.3956043956044
VCJR11,15.04,78.65,165.27472527472526
HFOF11,11.47,6,126.04395604395606
VGRI11,18.88,8.66,207.47252747252747
IRDM11,15.40,61.43,169.23076923076923
TGAR11,15.00,83.56,164.83516483516485
ITRI11,12.45,75.79,136.8131868131868
KFOF11,11.55,79.1,126.92307692307693
SARE11,5.03,4.63,55.27472527472528
RBFF11,12.82,47.69,140.87912087912088
RECR11,14.02,80.35,154.06593406593407
RCRB11,8.15,125.41,89.56043956043956
RBVA11,12.24,9.16,134.5054945054945
RZAK11,17.37,81.43,190.8791208791209
RZTR11,13.38,92.7,147.03296703296704
MCCI11,11.58,89.39,127.25274725274726
KORE11,21.96,69.65,241.31868131868134
RVBI11,13.68,62.38,150.32967032967034
LIFE11,17.79,8.38,195.4945054945055
LVBI11,9.15,105.43,100.54945054945055
KCRE11,14.29,8.44,157.03296703296704
JSAF11,14.82,7.33,162.85714285714286
VILG11,9.41,87,103.40659340659342
JSRE11,9.30,61.9,102.1978021978022
VINO11,12.88,4.94,141.53846153846155
KISU11,12.19,6.72,133.95604395604394
JSCR11,56.55,7.97,621.4285714285714
VISC11,9.26,104.82,101.75824175824175
KNUQ11,14.21,103.99,156.15384615384616
VRTM11,15.71,6.75,172.63736263736266
KNHF11,12.39,90.73,136.15384615384616
MANA11,14.63,8.8,160.76923076923077
KNHY11,14.26,100.6,156.7032967032967
KNRI11,8.31,142.05,91.31868131868133
WHGR11,14.31,8.71,157.25274725274727
KNIP11,12.52,87.12,137.58241758241758
XPLG11,9.92,97.63,109.01098901098901
XPML11,10.56,104.34,116.04395604395606
KNCR11,12.75,105.75,140.1098901098901
MCRE11,14.33,8.76,157.47252747252747
XPSF11,12.87,6,141.42857142857142
XPCI11,12.97,81.29,142.52747252747253
KNSC11,13.04,8.66,143.2967032967033
OUJP11,15.74,77.75,172.96703296703296
MXRF11,11.99,9.63,131.75824175824175
PATL11,11.86,58.67,130.32967032967034
KIVO11,17.63,63,193.73626373626374
MFII11,16.97,78.9,186.48351648351647
